0.57481,0.60683,0.59703,0.56076,0.58503,0.59243,0.59305,0.58356
0.57481,0.6012,0.59406,0.56135,0.5724,0.5842,0.5829,0.58322
0.56732,0.59523,0.58826,0.56119,0.5777,0.58351,0.57788,0.57944
0.56732,0.59605,0.59084,0.55432,0.57698,0.58222,0.57378,0.57409
0.55553,0.58758,0.58772,0.55501,0.57765,0.57803,0.56992,0.5697
0.55553,0.57451,0.59614,0.54471,0.58743,0.57719,0.57206,0.55956
0.55553,0.56878,0.59007,0.54495,0.56297,0.5762,0.5609,0.56084
0.54467,0.55493,0.57179,0.54938,0.54493,0.56037,0.55584,0.55319
0.54467,0.55802,0.57937,0.53805,0.54385,0.56055,0.55042,0.54861
0.53012,0.54845,0.56524,0.53948,0.53901,0.54489,0.544,0.54647
0.53012,0.55215,0.59316,0.52719,0.54617,0.56059,0.54459,0.53436
0.53012,0.56066,0.5696,0.52863,0.52896,0.54128,0.54161,0.53153
0.51393,0.53311,0.55019,0.52963,0.52759,0.52945,0.53036,0.53022
0.51393,0.5352,0.57444,0.51096,0.52848,0.53927,0.53173,0.52044
0.52956,0.52264,0.54204,0.51657,0.52243,0.52359,0.52778,0.51673
0.52956,0.53118,0.5446,0.53469,0.51498,0.52199,0.53204,0.52502
0.52956,0.52752,0.55188,0.53122,0.5398,0.53232,0.53192,0.52681
0.50929,0.52447,0.53614,0.53454,0.53201,0.52517,0.52907,0.52428
0.50929,0.51919,0.52782,0.51526,0.51048,0.51922,0.52227,0.51081
0.51455,0.51114,0.52087,0.5187,0.49951,0.51722,0.51755,0.50919
0.51455,0.50986,0.5124,0.52891,0.49595,0.51169,0.50557,0.51025
0.51455,0.51084,0.51718,0.52967,0.49905,0.51574,0.51058,0.50955
0.51067,0.50942,0.51541,0.533,0.49371,0.50977,0.51117,0.50732
0.51067,0.50201,0.51521,0.53223,0.49252,0.50819,0.50624,0.50362
0.51228,0.49881,0.50668,0.53313,0.49255,0.50885,0.50205,0.50251
